,BEI_companyName,BEI_Cohort,BEI_Address,BEI_City,BEI_State,BEI_Zip,BEI_yearEstablished,BEI_NAICSCode,BEI_Sector,BEI_numberOfEmployees,BEI_execName,BEI_execTitle,BEI_execEth,BEI_revenue,BEI_Sustained Revenues >$800K,BEI_Website,BEI_phone,BEI_Strong Leadership and Willing to ready to grow,BEI_Demonstrated Proven Business Model,"BEI_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MBE_Cohort,MBE_Address,MBE_City,MBE_State,MBE_Zip,MBE_yearEstablished,MBE_NAICSCode,MBE_Sector,MBE_numberOfEmployees,MBE_execName,MBE_execTitle,MBE_execEth,MBE_revenue,MBE_Sustained Revenues >$800K,MBE_Website,MBE_phone,MBE_Strong Leadership and Willing to ready to grow,MBE_Demonstrated Proven Business Model,MBE_referenceUSA_indicator,referenceUSA_companyName,"MBE_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MVCF_Address,MVCF_City,MVCF_State,MVCF_Zip,MVCF_yearEstablished,MVCF_NAICSCode,MVCF_Sector,MVCF_numberOfEmployees,MVCF_execName,MVCF_execTitle,MVCF_execEth,MVCF_revenue,MVCF_Sustained Revenues >$800K,MVCF_Website,MVCF_phone,MVCF_Strong Leadership and Willing to ready to grow,MVCF_Demonstrated Proven Business Model,"MVCF_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",NAIC_Address,NAIC_City,NAIC_State,NAIC_Zip,NAIC_yearEstablished,NAIC_NAICSCode,NAIC_sector,NAIC_numberOfEmployees,NAIC_execName,NAIC_execTitle,NAIC_execEth,NAIC_revenue,NAIC_Sustained Revenues >$800K,NAIC_Website,NAIC_phone,NAIC_Strong Leadership and Willing to ready to grow,NAIC_Demonstrated Proven Business Model,"NAIC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",USBC_companyAddress,USBC_City,USBC_State,USBC_Zip,USBC_yearEstablished,USBC_NAICCode,USBC_sector,USBC_numberOfEmployees,USBC_execName,USBC_execTitle,USBC_executiveRace,USBC_revenue,USBC_Sustained Revenues >$800K,USBC_Website,USBC_phone,USBC_Strong Leadership and Willing to ready to grow,USBC_Demonstrated Proven Business Model,"USBC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",RefUSA_address,RefUSA_City,RefUSA_State,RefUSA_Zip,RefUSA_yearEstablished,RefUSA_NAICSCode,RefUSA_sector,RefUSA_numberOfEmployees,RefUSA_execName,RefUSA_execTitle,RefUSA_execEth,RefUSA_revenue,RefUSA_Sustained Revenues >$800K,RefUSA_Website,RefUSA_phone,RefUSA_Strong Leadership and Willing to ready to grow,RefUSA_Demonstrated Proven Business Model,"RefUSA_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",Name,Ethnicity
957,Alves Fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020 East St Ludlow,,MA,1056.0, NA,423730.0,,10,Joe Salvador,owner,Hispanic,"$10,615,000",,,(413) 589-0797,,,,Joe Salvador,Hispanic
958,Alves Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274 N Main St Brockton,,MA,2301.0, NA,424410.0,,3,Maria Alves,"owner, board member",Hispanic,"$4,558,000",,,(508) 586-7595,,,,Maria Alves,Hispanic
959,Alves Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77 Stoughton St Dorchester,,MA,2125.0, NA,445110.0,,3,Denis Alves,owner,Hispanic,"$576,000",,,(617) 825-8267,,,,Denis Alves,Hispanic
960,"Alves, Kristin M MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 Longwood Ave # Bch3220 Boston,,MA,2115.0, NA,621111.0,,1_4,,,,"$934,000",,,(617) 726-2942,,,,,
961,"Alves, Marcilia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206 Elliot St Brockton,,MA,2302.0, NA,621610.0,,20-49,,,,"$2,848,000",,,(774) 381-1326,,,,,
962,"Alvin Distributing, Inc. d/b/a: Alvin Coffee & Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nine Dean Street Norwood, Massachusetts 2062 United States",,,,,,Certified Contractors,,,,Black,,,,(781) 769-1893,,,,,,,,,,,,,,,,,,,,,,,
963,Alviti Creations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67 Mechanic St # 1 Attleboro,,MA,2703.0,1947,331420.0,,20,Ralph Alviti,"owner, president",Mediterranean,"$10,193,000",,,(508) 222-4030,,,,Ralph Alviti,Mediterranean
964,Alx Creative Marketing Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 Main St # C9 Peabody,,MA,1960.0, NA,541613.0,,5,Alex Andrade,"president, manager",Hispanic,"$529,000",,,(978) 219-3500,,,,Alex Andrade,Hispanic
965,Alzheon Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 Speen St # 306 Framingham,,MA,1701.0, NA,325412.0,,20-49,Martin Tolar,"ceo, president, board member",Western Europe,"$43,115,000",,,(857) 214-7242,,,,Martin Tolar,Western Europe
966,AM Design Jewelry Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664 Salem St Malden,,MA,2148.0, NA,448310.0,,1_4,Haile G Aberaha,"president, board member",Uncoded,"$504,000",,,(781) 480-4534,,,,Haile G Aberaha,Uncoded
967,Amado Cleaning Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374 Lynn St Malden,,MA,2148.0, NA,561720.0,,5_9,Dulce Amado,"owner, president, treasurer",Hispanic,"$655,000",,,,,,,Dulce Amado,Hispanic
968,"Amado, Roberto S MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326 Nichols Rd Fitchburg,,MA,1420.0, NA,621111.0,,1_4,,,,"$503,000",,,(978) 343-5293,,,,,
969,AMAG Pharmaceuticals Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 Winter St # 3 Waltham,,MA,2451.0,1981,424210.0,,5_9,William K Heiden,"ceo, president, board member",Western Europe,,,,(617) 498-3300,,,,William K Heiden,Western Europe
970,Amara Immigration Law LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309 Beacon St # 300 Brookline,,MA,2446.0, NA,541110.0,,1_4,Emily Amara Gordon,"owner, manager",Hispanic,"$728,000",,,(617) 229-6465,,,,Emily Amara Gordon,Hispanic
971,Amaral & Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 Atlantic Ave Boston,,MA,2110.0, NA,541110.0,,9,Edward L Amaral Jr,owner,Hispanic,"$3,114,000",,,(617) 742-2020,,,,Edward L Amaral Jr,Hispanic
973,Amaral & Gallagher Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193 Washington St Stoughton,,MA,2072.0,1994,524210.0,,4,Thomas P Gallagher,"president, board member",Western Europe,"$515,000",,,(781) 341-5116,,,,Thomas P Gallagher,Western Europe
974,Amaral Bus Co Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090 State Rd Westport,,MA,2790.0, NA,811198.0,,124,Jose C Amaral,"president, coo, treasurer, board member",Hispanic,"$13,214,000",,,(508) 324-0551,,,,Jose C Amaral,Hispanic
975,"Amaral Group, LLC, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2400 Massachusetts Avenue, Lower Level Cambridge, Massachusetts 2140 United States",,,,,,Certified Contractors,,,,Black,,,,(617) 440-7900 x210,,,,,,,,,,,,,,,,,,,,,,,
976,"Amaral, Kristina V Np",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300b Faunce Corner Rd Dartmouth,,MA,2747.0, NA,621111.0,,1_4,,,,"$500,000",,,(508) 973-1020,,,,,
977,Amaral's Central Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872 Globe St Fall River,,MA,2724.0, NA,445110.0,,13,Daciel Amaral,owner,Hispanic,"$2,950,000",,,(508) 674-8042,,,,Daciel Amaral,Hispanic
978,Amaral's Fish Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488 Belleville Ave New Bedford,,MA,2746.0,1974,445220.0,,10,Dan Magalhaes,owner,Hispanic,"$1,555,000",,,(508) 996-1222,,,,Dan Magalhaes,Hispanic
979,Amaral's Linguica Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433 S 2nd St New Bedford,,MA,2740.0, NA,445210.0,,18,Antonio Rodrigues,owner,Hispanic,"$2,798,000",,,(508) 993-7645,,,,Antonio Rodrigues,Hispanic
980,Amaris Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257 Bay St Springfield,,MA,1109.0, NA,517312.0,,2,,,,"$1,462,000",,,(413) 363-9874,,,,,
981,Amaro's Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508 Middleboro Ave East Taunton,,MA,2718.0, NA,445310.0,,2,Albert Amaro Jr,owner,Hispanic,"$506,000",,,(508) 823-3940,,,,Albert Amaro Jr,Hispanic
982,Amaury Castillo Electric Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47 Corbett Rd Lawrence,,MA,1843.0,2017,238210.0,,5_9,,,,"$706,000",,,,,,,,
983,Amazing Charts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 Huntington Ave # 4 Boston,,MA,2199.0, NA,511210.0,,10_19,,,,"$3,466,000",,,(617) 406-4000,,,,,
984,Amazing Superstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82 Newbury St Peabody,,MA,1960.0, NA,453991.0,,8,,,,"$1,595,000",,,(978) 535-7999,,,,,
985,Amazon Granite & Marble Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171 Clay Pond Rd # G Bourne,,MA,2532.0, NA,454110.0,,2,Washington Machado,"owner, president, vice president, manager, treasurer, board member",Hispanic,"$1,068,000",,,(508) 392-9669,,,,Washington Machado,Hispanic
986,Amazon Landscaping & Constr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154 2nd St # 103 Framingham,,MA,1702.0,2016,561730.0,,5_9,Marcos A Batista Pereir,"president, vice president, treasurer, board member",Hispanic,"$680,000",,,(508) 663-6173,,,,Marcos A Batista Pereir,Hispanic
987,Amazon Tree Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166 Newbury St Framingham,,MA,1701.0, NA,454110.0,,5,Wexirley Da Silva,owner,Hispanic,"$2,118,000",,,(508) 740-2898,,,,Wexirley Da Silva,Hispanic
988,Ambassador Realtors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8911 W. 10 Mile Rd Southfield, Massachusetts United States",,,,,,Certified Contractors,,,,Black,,,,248.569.1212,,,,,,,,,,,,,,,,,,,,,,,
991,Ambulance Management Svc Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 Tower Dr New Bedford,,MA,2740.0,2016,621910.0,,20-49,Carol Mansfield,"president, treasurer, board member",Western Europe,"$1,599,000",,,,,,,Carol Mansfield,Western Europe
992,AMC Burlington Cinema 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 South Ave Burlington,,MA,1803.0, NA,512131.0,,50-99,,,,"$3,238,000",,,(781) 229-2619,,,,,
993,Amc Construction Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669 E Ashland St Brockton,,MA,2302.0,2019,236115.0,,1_4,Ireka G Viquez,owner,Hispanic,"$717,000",,,,,,,Ireka G Viquez,Hispanic
994,Amc Quality Builders LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 Ferris Rd Lynn,,MA,1904.0, NA,236115.0,,1_4,,,,"$1,573,000",,,(781) 599-2759,,,,,
995,Amcomm Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201 Gloucester Crossing Rd Gloucester,,MA,1930.0, NA,517312.0,,4,,,,"$3,302,000",,,(978) 515-7158,,,,,
996,Amd Global Telemedicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73 Princeton Blvd Lowell,,MA,1851.0, NA,334413.0,,10_19,Steve Longoria,vice president,Hispanic,"$4,297,000",,,(978) 937-9021,,,,Steve Longoria,Hispanic
997,AMEC Engineering Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271 Mill Rd Chelmsford,,MA,1824.0,2004,541330.0,,80,Michael Girioni,vice president,Uncoded,"$20,946,000",,,(978) 692-9090,,,,Michael Girioni,Uncoded
998,Amego Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Melcher St Plainville,,MA,2762.0,1971,442210.0,,5_9,,,,"$7,847,000",,,(508) 699-8950,,,,,
999,Amelia's Trattoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 Harvard St Cambridge,,MA,2139.0, NA,722511.0,,10,Delio Sussi Jr,owner,Hispanic,"$560,000",,,(617) 868-7600,,,,Delio Sussi Jr,Hispanic
1000,Amelior Technologies Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438 Somerville Ave Somerville,,MA,2143.0,2017,517919.0,,5_9,Marcelo G Decastro,ceo,Hispanic,"$2,553,000",,,,,,,Marcelo G Decastro,Hispanic
1001,Ameresco Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 Speen St # 410 Framingham,,MA,1701.0,2000,238220.0,,100,George P Sakellaris,"ceo, president, chairman, board member",Mediterranean,,,,(508) 661-2200,,,,George P Sakellaris,Mediterranean
1002,Amergent Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Centennial Dr # 201 Peabody,,MA,1960.0,1980,541613.0,,50,Jack Doyle,"ceo, president",Western Europe,"$5,285,000",,,(978) 531-1800,,,,Jack Doyle,Western Europe
1003,America Contractors Framing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 Harrison St # 3 Fall River,,MA,2723.0,2017,236115.0,,1_4,Jose F Reyes,"president, treasurer, board member",Hispanic,"$1,086,000",,,,,,,Jose F Reyes,Hispanic
1004,America Granite Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275 N Elm St Westfield,,MA,1085.0,2017,423320.0,,1_4,,,,"$1,753,000",,,,,,,,
1005,America Staffing Solution Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287 Hollis St # 1 Framingham,,MA,1702.0,2017,541612.0,,5_9,,,,"$1,055,000",,,,,,,,
1006,America Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 Hano St Allston,,MA,2134.0, NA,486990.0,,4,Luis Pacheco,ceo,Hispanic,"$5,353,000",,,(617) 987-0160,,,,Luis Pacheco,Hispanic
1007,American Academy Of Dental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 W Main St Norton,,MA,2766.0,2018,621210.0,,5_9,Alvaro Gracia,owner,Hispanic,"$668,000",,,,,,,Alvaro Gracia,Hispanic
1008,American Adhesive Coatings Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Osgood St Lawrence,,MA,1843.0,1987,325520.0,,30,Jerry Villa,owner,Hispanic,"$11,502,000",,,(978) 691-5622,,,,Jerry Villa,Hispanic
1009,American Airlines Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 Terminal C # A East Boston,,MA,2128.0, NA,481111.0,,20-49,,,,"$20,590,000",,,(617) 634-5190,,,,,
1010,American Auto Body & Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 Moore St Leominster,,MA,1453.0,1975,811121.0,,15,Dennis Rosa,owner,Hispanic,"$2,235,000",,,(978) 537-7042,,,,Dennis Rosa,Hispanic
1011,American Building Systems Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415 Millenium Cir Lakeville,,MA,2347.0, NA,236220.0,,4,,,,"$1,434,000",,,(508) 484-4931,,,,,
1012,American Chair & Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132 Washington St Quincy,,MA,2169.0, NA,337127.0,,5_9,Michael J Distasio,"president, treasurer, board member",Mediterranean,"$714,000",,,(617) 472-6383,,,,Michael J Distasio,Mediterranean
1013,"American Chinese Christian Educational Social Services, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244 Harrison Avenue Boston, Massachusetts 2111 United States",,,,,,Certified Contractors,,,,Black,,,,(617) 426-1070,,,,,,,,,,,,,,,,,,,,,,,
1014,American Classics Rstrnt-Take,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740 Springfield St Feeding Hills,,MA,1030.0, NA,722511.0,,20,Carlos Silva,owner,Hispanic,"$872,000",,,(413) 789-2203,,,,Carlos Silva,Hispanic
1015,American Commerce Insurance Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211 Main St Webster,,MA,1570.0,1972,524126.0,,1_4,Alfredo Castelo,ceo,Hispanic,"$2,565,000",,,(614) 272-6951,,,,Alfredo Castelo,Hispanic
1016,American Commercial Rl Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 Brush Hill Rd Sherborn,,MA,1770.0, NA,531210.0,,5,Dusty Burke,owner,African American,"$680,000",,,(508) 655-5423,,,,Dusty Burke,African American
1017,American Corporate Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628 Trapelo Rd Belmont,,MA,2478.0, NA,541612.0,,5_9,Ahmed A Taha,"president, treasurer, board member",African American,"$972,000",,,,,,,Ahmed A Taha,African American
1018,American Crane & Hoist Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234 Washington St Boston,,MA,2118.0,1912,423830.0,,100,Osar Williams,president,Western Europe,"$129,247,000",,,(617) 482-8383,,,,Osar Williams,Western Europe
1019,American Dental Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401 Edgewater Pl # 430 Wakefield,,MA,1880.0,1995,621210.0,,29,Kevin M Trexler,ceo,Western Europe,,,,(781) 224-0880,,,,Kevin M Trexler,Western Europe
1020,American Dream Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 Main St Leominster,,MA,1453.0, NA,423320.0,,5_9,Ninama Gonzalez,"president, treasurer",Hispanic,"$4,642,000",,,(978) 537-3786,,,,Ninama Gonzalez,Hispanic
1021,American Eagle Auto Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729 Farm Rd # 1 Marlborough,,MA,1752.0, NA,441120.0,,1,Fernando Teoodoro,owner,Hispanic,"$649,000",,,(508) 281-4391,,,,Fernando Teoodoro,Hispanic
1022,American Eagle Builder Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155 Narragansett St # 1f Fall River,,MA,2720.0,2018,236220.0,,1_4,,,,"$1,086,000",,,,,,,,
1023,American Eagle Contractor Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 Green St Woburn,,MA,1801.0,2017,238990.0,,1_4,,,,"$661,000",,,,,,,,
1024,American Eagle Outfitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210 Andover St # E115a Peabody,,MA,1960.0, NA,448140.0,,70,,,,"$12,927,000",,,(978) 532-8861,,,,,
1025,American Environmental Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 N Canal St Holyoke,,MA,1040.0, NA,562910.0,,30,Jose Julio Bermejo,"president, treasurer, board member",Hispanic,"$5,999,000",,,(413) 322-7190,,,,Jose Julio Bermejo,Hispanic
